Time (Seconds),ROI 5,ROI 15,ROI 43,ROI 57,ROI 80
64,0.39627599999999996,0.555696,0.4384450000000001,0.017264834608267998,0.5765319999999999
65,0.37567799999999996,0.5245150000000001,0.4422130000000001,0.017606194019503002,0.5544399999999999
66,0.36267099999999997,0.472388,0.43775700000000006,0.02003418504148799,0.556603
67,0.362429,0.576479,0.413844,0.02973320681789901,0.533534
68,0.34497,0.554143,0.40722,0.03151482178183801,0.515043
69,0.340587,0.42752700000000005,0.395412,0.037068111807643994,0.519782
70,0.321757,0.408008,0.385015,0.036950595651392,0.511832
71,0.338051,0.33869900000000003,0.377792,0.04564668437448699,0.492514
72,0.32986,0.36261499999999997,0.3713350000000001,0.05579904678839301,0.48110600000000003
73,0.317927,0.3363,0.372548,0.06402604086272301,0.456738
74,0.302655,0.325404,0.35914999999999997,0.071558264192981,0.44847799999999993
75,0.285789,0.313443,0.356966,0.081676966880981,0.432106
76,0.282399,0.304324,0.35737700000000006,0.09298439251762503,0.42277
77,0.267743,0.294985,0.34534699999999996,0.08924507903310602,0.38936099999999996
78,0.263399,0.292057,0.33875500000000003,0.10682072915326302,0.369621
79,0.25549900000000003,0.28669,0.344186,0.11164274474903102,0.35650800000000005
80,0.252482,0.283245,0.351541,0.10808317198289802,0.33203099999999997
81,0.250181,0.277641,0.34270100000000003,0.09706692526782601,0.31105400000000005
82,0.24951600000000002,0.271119,0.364148,0.091029736061284,0.297346
83,0.25538500000000003,0.260005,0.37468900000000005,0.09514144567048499,0.275682
84,0.28544600000000003,0.24477700000000002,0.390254,0.11203517629159798,0.25361900000000004
85,0.314049,0.229425,0.38378100000000004,0.15623612814847898,0.245524
86,0.364016,0.21922200000000003,0.3795820000000001,0.17958160695584502,0.226494
87,0.396367,0.20453100000000002,0.36332700000000007,0.19585559968752198,0.20806700000000003
88,0.42457900000000004,0.19024800000000003,0.368861,0.196074395348591,0.19203100000000003
89,0.399872,0.169385,0.375927,0.18972223433423502,0.17458100000000001
90,0.398363,0.15226800000000001,0.383973,0.18553682206017003,0.16072300000000003
91,0.373302,0.143469,0.397918,0.179511733209839,0.15678300000000003
92,0.35726199999999997,0.13889200000000002,0.4230400000000001,0.17548183311014098,0.14683900000000003
93,0.35031500000000004,0.12056900000000004,0.44258700000000006,0.17331131127598798,0.13140300000000002
94,0.359839,0.11226900000000001,0.490588,0.17212677098934698,0.116345
95,0.360256,0.09776299999999999,0.531961,0.174049402058432,0.11372600000000002
96,0.368872,0.09416800000000003,0.5898840000000001,0.17175875324982698,0.104129
97,0.38519899999999996,0.08623700000000001,0.638694,0.1850943826084,0.097889
98,0.409431,0.077545,0.691214,0.19307328874180701,0.091141
99,0.413675,0.06939600000000001,0.727226,0.198206004330708,0.09245700000000001
100,0.402942,0.060479000000000005,0.76198,0.191399873111457,0.08807800000000002
101,0.407073,0.058113,0.794272,0.19084212220866797,0.084568
102,0.39824800000000005,0.054203,0.791226,0.185837891908271,0.07874400000000001
103,0.38161500000000004,0.04536600000000002,0.831673,0.18738071447827098,0.073464
104,0.389405,0.039148000000000016,0.849952,0.183462411223348,0.073663
105,0.40342200000000006,0.037103,0.86975,0.18914221099912,0.07214400000000001
106,0.409119,0.03018600000000002,0.8663069999999999,0.18104443120041502,0.06904600000000002
107,0.44237499999999996,0.02523700000000001,0.853311,0.175506087474735,0.071829
108,0.47383200000000003,0.01879900000000001,0.856051,0.18220241099218898,0.08130300000000001
109,0.501304,0.01716300000000001,0.8539990000000001,0.177427579189188,0.094059
